ADM2_EN,ADM3_EN,Status,population1991,population2001,population2011,population2022
Barguna,Amtali,Subdistrict,174422,176549,182798,214446
Barguna,Bamna,Subdistrict,65965,69803,79564,78942
Barguna,Barguna Sadar,Subdistrict,219729,237613,261343,294375
Barguna,Betagi,Subdistrict,110926,119356,117145,125472
Barguna,Patharghata,Subdistrict,134635,162025,163927,177893
Barisal,Agailjhara,Subdistrict,147343,155661,149456,156423
Barisal,Babuganj,Subdistrict,135905,146740,140361,154558
Barisal,Bakerganj,Subdistrict,336706,353909,313845,356022
Barisal,Banari Para,Subdistrict,148483,148188,148467,163893
Barisal,Barisal Sadar (Kotwali),Subdistrict,174330,186111,198739,237211
Barisal,Gaurnadi,Subdistrict,171602,180219,188586,205878
Barisal,Hizla,Subdistrict,166265,174508,146077,150669
Barisal,Mehendiganj,Subdistrict,292436,304364,301046,283890
Barisal,Muladi,Subdistrict,171948,183283,174775,181929
Barisal,Wazirpur,Subdistrict,227115,241374,234959,254506
Bhola,Bhola Sadar,Subdistrict,351674,408094,430520,444838
Bhola,Burhanuddin,Subdistrict,208478,244137,233860,265437
Bhola,Char Fasson,Subdistrict,342038,413593,456437,518817
Bhola,Daulatkhan,Subdistrict,153458,173253,168567,181813
Bhola,Lalmohan,Subdistrict,252497,276547,283889,297692
Bhola,Manpura,Subdistrict,51361,67304,76582,89745
Bhola,Tazumuddin,Subdistrict,116822,120189,126940,134176
Jhalokati,Jhalokati Sadar,Subdistrict,201162,206948,216348,228041
Jhalokati,Kanthalia,Subdistrict,123298,130364,124271,111663
Jhalokati,Nalchity,Subdistrict,203556,193556,190043,185550
Jhalokati,Rajapur,Subdistrict,143659,149332,148494,144681
Patuakhali,Bauphal,Subdistrict,288825,304959,304284,327498
Patuakhali,Dashmina,Subdistrict,106539,117037,123388,130402
Patuakhali,Dumki,Subdistrict,50017,70705,70655,81839
Patuakhali,Galachipa,Subdistrict,211448,238416,258515,300218
Patuakhali,Kala Para,Subdistrict,174931,202078,237831,263404
Patuakhali,Mirzaganj,Subdistrict,110763,118054,121716,127111
Patuakhali,Patuakhali Sadar,Subdistrict,256500,322713,316462,354816
Pirojpur,Bhandaria,Subdistrict,145233,155256,148159,163654
Pirojpur,Kawkhali,Subdistrict,70347,74134,70130,70786
Pirojpur,Kawkhali,Subdistrict,42409,48240,59578,66313
Pirojpur,Mathbaria,Subdistrict,253915,263527,262841,277627
Pirojpur,Nazirpur,Subdistrict,166014,178820,180408,187991
Pirojpur,Nesarabad (Swarupkati),Subdistrict,202520,212232,211032,230976
Pirojpur,Pirojpur Sadar,Subdistrict,153958,155194,163470,181707
Pirojpur,Zianagar,Subdistrict,0,77152,71908,75348
Bandarban,Alikadam,Subdistrict,24782,35264,49317,63800
Bandarban,Bandarban Sadar,Subdistrict,49711,68693,88282,111096
Bandarban,Lama,Subdistrict,64717,78488,108995,139689
Bandarban,Naikhongchhari,Subdistrict,38350,49465,61788,76477
Bandarban,Rowangchhari,Subdistrict,17904,22629,27264,27721
Bandarban,Ruma,Subdistrict,19001,26589,29098,32533
Bandarban,Thanchi,Subdistrict,16104,16992,23591,29790
Brahamanbaria,Akhaura,Subdistrict,112982,130319,145215,168472
Brahamanbaria,Ashuganj,Subdistrict,124556,145828,180654,210356
Brahamanbaria,Banchharampur,Subdistrict,238518,267888,298436,332676
Brahamanbaria,Bijoynagar,Subdistrict,195680,215993,257247,290431
Brahamanbaria,Brahmanbaria Sadar,Subdistrict,345868,409491,521994,677243
Brahamanbaria,Kasba,Subdistrict,243833,271231,319221,357961
Brahamanbaria,Nabinagar,Subdistrict,393959,420383,493518,555839
Brahamanbaria,Nasirnagar,Subdistrict,234090,255668,309011,346774
Brahamanbaria,Sarail,Subdistrict,232406,271101,315208,364369
Chandpur,Chandpur Sadar,Subdistrict,396872,436680,465919,534599
Chandpur,Faridganj,Subdistrict,348281,374760,396683,433248
Chandpur,Haim Char,Subdistrict,113306,111029,106303,113116
Chandpur,Hajiganj,Subdistrict,254057,291823,330477,360367
Chandpur,Kachua,Subdistrict,93249,100093,97011,107423
Chandpur,Kachua,Subdistrict,293683,331360,382139,405497
Chandpur,Matlab Dakshin,Subdistrict,183103,207611,210050,226721
Chandpur,Matlab Uttar,Subdistrict,262504,299935,292057,295821
Chandpur,Shahrasti,Subdistrict,180643,203952,229118,254662
Chittagong,Anowara,Subdistrict,219446,239596,259022,319482
Chittagong,Bakalia,Subdistrict,164743,196446,238510,277661
Chittagong,Banshkhali,Subdistrict,320339,391320,431162,537593
Chittagong,Bayejid Bostami,Subdistrict,0,185430,211673,323165
Chittagong,Boalkhali,Subdistrict,195607,235483,223125,258688
Chittagong,Chandanaish,Subdistrict,172843,192600,233017,252242
Chittagong,Chandgaon,Subdistrict,155750,218833,255579,342731
